ticker,max_profit,initial_price,final_price,buy_hold_profit,buy_hold_return_pct,optimal_profit,optimal_return_pct,profit_advantage,num_transactions,avg_profit_per_transaction,analysis_date
AAPL,373.9102325439453,226.4660186767578,254.94000244140625,28.473983764648438,12.573181588576546,373.9102325439453,165.10655096455744,345.4362487792969,61,6.129675943343366,2025-09-26 22:40:20
MSFT,582.1438598632812,428.0960388183594,508.4324951171875,80.33645629882812,18.76598917396542,582.1438598632812,135.98440702000613,501.8074035644531,69,8.436867534250453,2025-09-26 22:40:20
GOOGL,370.9335479736328,162.0155029296875,247.3300018310547,85.31449890136719,52.658231686872895,370.9335479736328,228.94941611520525,285.6190490722656,62,5.982799160865046,2025-09-26 22:40:21
AMZN,404.2701110839844,191.16000366210938,219.4001007080078,28.240097045898438,14.773015539283557,404.2701110839844,211.48258178450564,376.03001403808594,66,6.125304713393703,2025-09-26 22:40:21
TSLA,1341.2200469970703,254.22000122070312,425.5,171.27999877929688,67.37471401024767,1341.2200469970703,527.5824248905889,1169.9400482177734,60,22.35366744995117,2025-09-26 22:40:21
NVDA,391.6773223876953,124.00444030761719,176.2100067138672,52.20556640625,42.09975568354159,391.6773223876953,315.85749785738585,339.4717559814453,70,5.595390319824219,2025-09-26 22:40:21
META,1318.4500732421875,566.0601196289062,742.9000244140625,176.83990478515625,31.240481117286222,1318.4500732421875,232.9169689796426,1141.6101684570312,63,20.927778940352184,2025-09-26 22:40:21
NFLX,2078.3898315429688,711.4299926757812,1205.85498046875,494.42498779296875,69.49734940656236,2078.3898315429688,292.1425653880395,1583.96484375,63,32.99031478639633,2025-09-26 22:40:21
JPM,396.7716827392578,205.1726837158203,314.510009765625,109.33732604980469,53.29039132774865,396.7716827392578,193.3842632232742,287.4343566894531,63,6.297963218083457,2025-09-26 22:40:21
BAC,67.30602264404297,38.611351013183594,52.14509963989258,13.533748626708984,35.051217508778635,67.30602264404297,174.31667340793584,53.772274017333984,60,1.1217670440673828,2025-09-26 22:40:21
GS,1160.4115295410156,486.9833068847656,802.864990234375,315.8816833496094,64.86499206108437,1160.4115295410156,238.28568929070144,844.5298461914062,68,17.0648754344267,2025-09-26 22:40:21
MS,234.90663146972656,101.5672836303711,160.24319458007812,58.67591094970703,57.770483616794785,234.90663146972656,231.281789837573,176.23072052001953,68,3.4545092863195084,2025-09-26 22:40:21
C,149.86429595947266,59.87125015258789,102.97000122070312,43.098751068115234,71.98572095667576,149.86429595947266,250.3109515460734,106.76554489135742,64,2.3416296243667603,2025-09-26 22:40:21
V,424.55633544921875,269.7953186035156,337.0299987792969,67.23468017578125,24.920625207210374,424.55633544921875,157.3623803581025,357.3216552734375,67,6.336661723122668,2025-09-26 22:40:21
MA,675.699462890625,488.45892333984375,565.0,76.54107666015625,15.669910611276322,675.699462890625,138.3329141108779,599.1583862304688,68,9.936756807215074,2025-09-26 22:40:21
PYPL,138.8249855041504,80.08000183105469,66.7699966430664,-13.310005187988281,-16.620885219344135,138.8249855041504,173.3578700422989,152.13499069213867,74,1.876013317623654,2025-09-26 22:40:21
JNJ,174.2527618408203,156.33631896972656,178.98500061035156,22.648681640625,14.487152946853483,174.2527618408203,111.46019235272078,151.6040802001953,65,2.6808117206280047,2025-09-26 22:40:21
PFE,34.06749153137207,27.07051658630371,23.665000915527344,-3.405515670776367,-12.580165066001669,34.06749153137207,125.84721618725396,37.47300720214844,66,0.516174114111698,2025-09-26 22:40:21
MRK,119.79243469238281,109.05113983154297,77.82469940185547,-31.2264404296875,-28.634675875854782,119.79243469238281,109.84977770744302,151.0188751220703,67,1.7879467864534748,2025-09-26 22:40:21
UNH,859.0440826416016,562.6085815429688,343.42999267578125,-219.1785888671875,-38.95756233687096,859.0440826416016,152.68947378755772,1078.222671508789,64,13.422563791275024,2025-09-26 22:40:21
ABBV,288.2553405761719,185.27394104003906,219.69000244140625,34.41606140136719,18.575770131607243,288.2553405761719,155.58331568813435,253.8392791748047,58,4.969919665106412,2025-09-26 22:40:21
WMT,134.72337341308594,79.14826202392578,103.25,24.10173797607422,30.451379928959767,134.72337341308594,170.21646460456745,110.62163543701172,59,2.2834470070014565,2025-09-26 22:40:21
COST,1180.7088623046875,896.837646484375,921.0,24.162353515625,2.6941725305959228,1180.7088623046875,131.65246429307405,1156.5465087890625,61,19.355882988601433,2025-09-26 22:40:21
PG,164.23976135253906,168.93836975097656,152.07000732421875,-16.868362426757812,-9.984920803736063,164.23976135253906,97.21874408675573,181.10812377929688,63,2.6069803389291915,2025-09-26 22:40:21
KO,66.48649597167969,69.31523132324219,66.1449966430664,-3.1702346801757812,-4.573647984224162,66.48649597167969,95.91902775542785,69.65673065185547,63,1.0553412058996776,2025-09-26 22:40:21
PEP,169.71286010742188,163.37437438964844,140.52000427246094,-22.8543701171875,-13.988956470419131,169.71286010742188,103.87973067468717,192.56723022460938,72,2.357123057047526,2025-09-26 22:40:21
MCD,318.26422119140625,296.7245788574219,303.875,7.150421142578125,2.4097839046943093,318.26422119140625,107.25913654235374,311.1138000488281,64,4.972878456115723,2025-09-26 22:40:21
TGT,200.04442596435547,150.1863555908203,88.28500366210938,-61.90135192871094,-41.21636195591557,200.04442596435547,133.1974700214262,261.9457778930664,71,2.8175271262585277,2025-09-26 22:40:21
XOM,151.86602783203125,108.8637924194336,117.96499633789062,9.101203918457031,8.36017533119887,151.86602783203125,139.50095294027363,142.76482391357422,59,2.5740004717293434,2025-09-26 22:40:21
